run_id,experiment_name,model_name,log_loss_mean,log_loss_std,log_loss_min,log_loss_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,top_3_accuracy_mean,top_3_accuracy_std,top_3_accuracy_min,top_3_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,training_seconds_mean,training_seconds_std,training_seconds_min,training_seconds_max,model_iterations_mean,model_iterations_std,model_iterations_min,model_iterations_max
dummy_class_prior__20260714T203621Z,dummy_class_prior,dummy,2.706870870084931,,2.706870870084931,2.706870870084931,0.1964004263048079,,0.1964004263048079,0.1964004263048079,0.4607544394241883,,0.4607544394241883,0.4607544394241883,0.0086399706277978,,0.0086399706277978,0.0086399706277978,0.7852760420064442,,0.7852760420064442,0.7852760420064442,,,,
logistic_01_raw_baseline__20260714T205140Z,logistic_01_raw_baseline,logistic,2.444735093295005,,2.444735093295005,2.444735093295005,0.2699380056740569,,0.2699380056740569,0.2699380056740569,0.5164292469115418,,0.5164292469115418,0.5164292469115418,0.0619930125491732,,0.0619930125491732,0.0619930125491732,270.3646896669961,,270.3646896669961,270.3646896669961,,,,
logistic_02_add_address__20260714T205629Z,logistic_02_add_address,logistic,2.4322062776785067,,2.4322062776785067,2.4322062776785067,0.2734955493177622,,0.2734955493177622,0.2734955493177622,0.5201669193473334,,0.5201669193473334,0.5201669193473334,0.0686457244069832,,0.0686457244069832,0.0686457244069832,288.6677952089958,,288.6677952089958,288.6677952089958,,,,
logistic_03_add_cyclical__20260714T210223Z,logistic_03_add_cyclical,logistic,2.4176491230826187,,2.4176491230826187,2.4176491230826187,0.2758672450802323,,0.2758672450802323,0.2758672450802323,0.5235293234662783,,0.5235293234662783,0.5235293234662783,0.07364218727666,,0.07364218727666,0.07364218727666,352.8020500840066,,352.8020500840066,352.8020500840066,,,,
logistic_04_add_interactions__20260714T210851Z,logistic_04_add_interactions,logistic,2.410741144809553,,2.410741144809553,2.410741144809553,0.2782239301100286,,0.2782239301100286,0.2782239301100286,0.5272820066347439,,0.5272820066347439,0.5272820066347439,0.0786372945153591,,0.0786372945153591,0.0786372945153591,387.49349629199423,,387.49349629199423,387.49349629199423,,,,
logistic_05_add_geo40__20260714T211531Z,logistic_05_add_geo40,logistic,2.4080462253371,,2.4080462253371,2.4080462253371,0.2781488764466593,,0.2781488764466593,0.2781488764466593,0.5274321139614825,,0.5274321139614825,0.5274321139614825,0.0791669361724746,,0.0791669361724746,0.0791669361724746,398.1498308750015,,398.1498308750015,398.1498308750015,,,,
logistic_c_0_01__20260715T194051Z,logistic_c_0_01,logistic,2.4434272074210712,,2.4434272074210712,2.4434272074210712,0.268842222188865,,0.268842222188865,0.268842222188865,0.5175850733274291,,0.5175850733274291,0.5175850733274291,0.0625020061634555,,0.0625020061634555,0.0625020061634555,1170.7376471250027,,1170.7376471250027,1170.7376471250027,750.0,,750.0,750.0
logistic_c_0_03__20260715T201636Z,logistic_c_0_03,logistic,2.418500970165532,,2.418500970165532,2.418500970165532,0.2744262147435416,,0.2744262147435416,0.2744262147435416,0.524985364535643,,0.524985364535643,0.524985364535643,0.0707225119994889,,0.0707225119994889,0.0707225119994889,1181.0359521250066,,1181.0359521250066,1181.0359521250066,750.0,,750.0,750.0
logistic_c_0_1__20260715T210211Z,logistic_c_0_1,logistic,2.406293679897239,,2.406293679897239,2.406293679897239,0.2791996277338296,,0.2791996277338296,0.2791996277338296,0.5282126720605232,,0.5282126720605232,0.5282126720605232,0.0794026938199367,,0.0794026938199367,0.0794026938199367,2733.5623279589927,,2733.5623279589927,2733.5623279589927,750.0,,750.0,750.0
logistic_c_0_3__20260715T212239Z,logistic_c_0_3,logistic,2.4167693040126084,,2.4167693040126084,2.4167693040126084,0.2767378675753164,,0.2767378675753164,0.2767378675753164,0.5248052357435566,,0.5248052357435566,0.5248052357435566,0.0842561314499373,,0.0842561314499373,0.0842561314499373,1227.1589767080004,,1227.1589767080004,1227.1589767080004,750.0,,750.0,750.0
logistic_c_1_0__20260715T213600Z,logistic_c_1_0,logistic,2.4587335409262976,,2.4587335409262976,2.4587335409262976,0.2729401522088293,,0.2729401522088293,0.2729401522088293,0.5163842147135201,,0.5163842147135201,0.5163842147135201,0.0870473520540332,,0.0870473520540332,0.0870473520540332,800.1099728330009,,800.1099728330009,800.1099728330009,489.0,,489.0,489.0
logistic_convergence_1000__20260715T054826Z,logistic_convergence_1000,logistic,2.406260873169681,,2.406260873169681,2.406260873169681,0.2791996277338296,,0.2791996277338296,0.2791996277338296,0.5281826505951756,,0.5281826505951756,0.5281826505951756,0.0794013308748819,,0.0794013308748819,0.0794013308748819,1541.8314974170062,,1541.8314974170062,1541.8314974170062,1000.0,,1000.0,1000.0
logistic_convergence_750__20260715T052243Z,logistic_convergence_750,logistic,2.4062936256753193,,2.4062936256753193,2.4062936256753193,0.2791996277338296,,0.2791996277338296,0.2791996277338296,0.5282126720605232,,0.5282126720605232,0.5282126720605232,0.0794026938199367,,0.0794026938199367,0.0794026938199367,1184.893960541987,,1184.893960541987,1184.893960541987,750.0,,750.0,750.0
logistic_encoding_frequency_geo_dist40__20260715T043756Z,logistic_encoding_frequency_geo_dist40,logistic,2.514310758073904,,2.514310758073904,2.514310758073904,0.2429787297918011,,0.2429787297918011,0.2429787297918011,0.4904606793857608,,0.4904606793857608,0.4904606793857608,0.0430355984004885,,0.0430355984004885,0.0430355984004885,231.846711124992,,231.846711124992,231.846711124992,,,,
logistic_encoding_ordinal_geo_dist40__20260715T044952Z,logistic_encoding_ordinal_geo_dist40,logistic,2.677812626753696,,2.677812626753696,2.677812626753696,0.2162145934343055,,0.2162145934343055,0.2162145934343055,0.4574370675032648,,0.4574370675032648,0.4574370675032648,0.0224582872570359,,0.0224582872570359,0.0224582872570359,715.5788905419904,,715.5788905419904,715.5788905419904,,,,
logistic_finalist_temporal_cv__20260716T204428Z,logistic_finalist_temporal_cv,logistic,2.388234976906609,0.0183230222138133,2.369658606097914,2.406293679897239,0.2820860194824972,0.005197027924357,0.2789728290418368,0.288085601671825,0.5350026354945252,0.0083753387715671,0.5282126720605232,0.5443615586064598,0.0748784258886963,0.0045097134895999,0.0703834091399812,0.0794026938199367,2492.936507305334,865.5133688238948,1810.111946124991,3466.35065149999,750.0,0.0,750.0,750.0
logistic_geo_cluster40_only__20260715T040626Z,logistic_geo_cluster40_only,logistic,2.408375364743978,,2.408375364743978,2.408375364743978,0.2787643164862877,,0.2787643164862877,0.2787643164862877,0.527372071030787,,0.527372071030787,0.527372071030787,0.079192021068771,,0.079192021068771,0.079192021068771,388.7347346249881,,388.7347346249881,388.7347346249881,,,,
logistic_geo_raw_cluster20__20260715T035316Z,logistic_geo_raw_cluster20,logistic,2.4078941956092237,,2.4078941956092237,2.4078941956092237,0.2785991984268752,,0.2785991984268752,0.2785991984268752,0.5276872964169381,,0.5276872964169381,0.5276872964169381,0.0791894860399735,,0.0791894860399735,0.0791894860399735,404.5574934580072,,404.5574934580072,404.5574934580072,,,,
logistic_geo_raw_cluster80__20260715T035957Z,logistic_geo_raw_cluster80,logistic,2.4070043759653834,,2.4070043759653834,2.4070043759653834,0.2792596706645251,,0.2792596706645251,0.2792596706645251,0.527372071030787,,0.527372071030787,0.527372071030787,0.0795593194231544,,0.0795593194231544,0.0795593194231544,399.7627492920001,,399.7627492920001,399.7627492920001,,,,
logistic_geo_raw_distances20__20260715T041618Z,logistic_geo_raw_distances20,logistic,2.406840523402985,,2.406840523402985,2.406840523402985,0.2785841876942013,,0.2785841876942013,0.2785841876942013,0.5279274681397199,,0.5279274681397199,0.5279274681397199,0.0789408187522422,,0.0789408187522422,0.0789408187522422,590.5467985000141,,590.5467985000141,590.5467985000141,,,,
logistic_geo_raw_distances40__20260715T042919Z,logistic_geo_raw_distances40,logistic,2.406335459052539,,2.406335459052539,2.406335459052539,0.279169606268482,,0.279169606268482,0.279169606268482,0.5281976613278494,,0.5281976613278494,0.5281976613278494,0.0793402655555781,,0.0793402655555781,0.0793402655555781,779.7832132080075,,779.7832132080075,779.7832132080075,,,,
random_forest_baseline__20260718T030645Z,random_forest_baseline,random_forest,2.5842798349962237,,2.5842798349962237,2.5842798349962237,0.2887464537144058,,0.2887464537144058,0.2887464537144058,0.5370089614074063,,0.5370089614074063,0.5370089614074063,0.0920139709146193,,0.0920139709146193,0.0920139709146193,38.63111708400538,,38.63111708400538,38.63111708400538,,,,
random_forest_depth_16_leaf_20__20260718T031045Z,random_forest_depth_16_leaf_20,random_forest,2.367531367160088,,2.367531367160088,2.367531367160088,0.2914033533976793,,0.2914033533976793,0.2914033533976793,0.5459403473483541,,0.5459403473483541,0.5459403473483541,0.0823236404977897,,0.0823236404977897,0.0823236404977897,46.75258933400619,,46.75258933400619,46.75258933400619,,,,
random_forest_depth_16_leaf_5__20260718T030957Z,random_forest_depth_16_leaf_5,random_forest,2.370907853475467,,2.370907853475467,2.370907853475467,0.2924691154175235,,0.2924691154175235,0.2924691154175235,0.5456101112295291,,0.5456101112295291,0.5456101112295291,0.0850760316825661,,0.0850760316825661,0.0850760316825661,47.848494999983814,,47.848494999983814,47.848494999983814,,,,
random_forest_depth_24_leaf_10__20260718T031140Z,random_forest_depth_24_leaf_10,random_forest,2.4345659263211585,,2.4345659263211585,2.4345659263211585,0.2927993515363485,,0.2927993515363485,0.2927993515363485,0.543778801843318,,0.543778801843318,0.543778801843318,0.0876301798558772,,0.0876301798558772,0.0876301798558772,53.249880833987845,,53.249880833987845,53.249880833987845,,,,
random_forest_depth_24_leaf_25__20260718T031236Z,random_forest_depth_24_leaf_25,random_forest,2.383010041302958,,2.383010041302958,2.383010041302958,0.2930245125264564,,0.2930245125264564,0.2930245125264564,0.5473813776850448,,0.5473813776850448,0.5473813776850448,0.0851803292507083,,0.0851803292507083,0.0851803292507083,48.855475999997,,48.855475999997,48.855475999997,,,,
random_forest_depth_32_leaf_10__20260718T032548Z,random_forest_depth_32_leaf_10,random_forest,2.444067205004779,,2.444067205004779,2.444067205004779,0.2927543193383269,,0.2927543193383269,0.2927543193383269,0.5432684369324067,,0.5432684369324067,0.5432684369324067,0.0881927611066824,,0.0881927611066824,0.0881927611066824,58.966145582991885,,58.966145582991885,58.966145582991885,,,,
random_forest_depth_32_leaf_25__20260718T032641Z,random_forest_depth_32_leaf_25,random_forest,2.3894173907931138,,2.3894173907931138,2.3894173907931138,0.2913733319323316,,0.2913733319323316,0.2913733319323316,0.5472012488929585,,0.5472012488929585,0.5472012488929585,0.0839127678336671,,0.0839127678336671,0.0839127678336671,51.478671457996825,,51.478671457996825,51.478671457996825,,,,
random_forest_depth_None_leaf_25__20260718T032732Z,random_forest_depth_None_leaf_25,random_forest,2.389449134012913,,2.389449134012913,2.389449134012913,0.2915384499917441,,0.2915384499917441,0.2915384499917441,0.5468860235068074,,0.5468860235068074,0.5468860235068074,0.0839752703087253,,0.0839752703087253,0.0839752703087253,50.187388040998485,,50.187388040998485,50.187388040998485,,,,
xgboost_baseline__20260718T035717Z,xgboost_baseline,xgboost,2.3097244697486237,,2.3097244697486237,2.3097244697486237,0.3039673366457017,,0.3039673366457017,0.3039673366457017,0.5591948242993741,,0.5591948242993741,0.5591948242993741,0.0896518431604707,,0.0896518431604707,0.0896518431604707,63.570797332999064,,63.570797332999064,63.570797332999064,,,,
xgboost_depth_4_child_1__20260719T031630Z,xgboost_depth_4_child_1,xgboost,2.332119508049059,,2.332119508049059,2.332119508049059,0.2968072171602696,,0.2968072171602696,0.2968072171602696,0.5502033954277308,,0.5502033954277308,0.5502033954277308,0.0819005227809516,,0.0819005227809516,0.0819005227809516,52.04870312497951,,52.04870312497951,52.04870312497951,,,,
xgboost_depth_4_child_5__20260719T031723Z,xgboost_depth_4_child_5,xgboost,2.332218486587915,,2.332218486587915,2.332218486587915,0.2972875606058331,,0.2972875606058331,0.2972875606058331,0.5507888140020114,,0.5507888140020114,0.5507888140020114,0.082844865066062,,0.082844865066062,0.082844865066062,52.07957233401248,,52.07957233401248,52.07957233401248,,,,
xgboost_depth_6_child_1__20260719T031828Z,xgboost_depth_6_child_1,xgboost,2.3097244697486237,,2.3097244697486237,2.3097244697486237,0.3039673366457017,,0.3039673366457017,0.3039673366457017,0.5591948242993741,,0.5591948242993741,0.5591948242993741,0.0896518431604707,,0.0896518431604707,0.0896518431604707,63.4264376659994,,63.4264376659994,63.4264376659994,,,,
xgboost_depth_6_child_5__20260719T031932Z,xgboost_depth_6_child_5,xgboost,2.308958103855334,,2.308958103855334,2.308958103855334,0.3048229484081118,,0.3048229484081118,0.3048229484081118,0.560725919032108,,0.560725919032108,0.560725919032108,0.0894636386700516,,0.0894636386700516,0.0894636386700516,63.26890454199747,,63.26890454199747,63.26890454199747,,,,
xgboost_depth_8_child_1__20260719T032051Z,xgboost_depth_8_child_1,xgboost,2.3123150556405836,,2.3123150556405836,2.3123150556405836,0.3052282381903061,,0.3052282381903061,0.3052282381903061,0.5592098350320479,,0.5592098350320479,0.5592098350320479,0.0950263910711873,,0.0950263910711873,0.0950263910711873,76.98976533301175,,76.98976533301175,76.98976533301175,,,,
xgboost_depth_8_child_5__20260719T032208Z,xgboost_depth_8_child_5,xgboost,2.3076296216019285,,2.3076296216019285,2.3076296216019285,0.3056785601705219,,0.3056785601705219,0.3056785601705219,0.5615665200618443,,0.5615665200618443,0.5615665200618443,0.0927330907894082,,0.0927330907894082,0.0927330907894082,75.53560754100909,,75.53560754100909,75.53560754100909,,,,
xgboost_finalist__20260719T041113Z,xgboost_finalist,xgboost,2.2908749626977274,,2.2908749626977274,2.2908749626977274,0.3091010072201624,,0.3091010072201624,0.3091010072201624,0.5663849652501538,,0.5663849652501538,0.5663849652501538,0.0905318789203801,,0.0905318789203801,0.0905318789203801,229.1272878749878,,229.1272878749878,229.1272878749878,,,,
xgboost_finalist__20260719T042555Z,xgboost_finalist,xgboost,2.2773053161212053,0.0151061491519384,2.261028693159446,2.2908749626977274,0.3140995562054987,0.0082640031447388,0.3091010072201624,0.3236383355818321,0.5738068910949611,0.0089712531929323,0.5663849652501538,0.5837764198608576,0.0879598064309905,0.0023744126426274,0.0858514759996064,0.0905318789203801,252.26896037500896,16.840299293914775,234.2268432500132,267.57151458301814,,,,
xgboost_gamma_0_0_alpha_0_0_lambda_0_5__20260719T035012Z,xgboost_gamma_0_0_alpha_0_0_lambda_0_5,xgboost,2.301740845094275,,2.301740845094275,2.301740845094275,0.3070295261111694,,0.3070295261111694,0.3070295261111694,0.5638931836262928,,0.5638931836262928,0.5638931836262928,0.094266597346261,,0.094266597346261,0.094266597346261,77.00271770800464,,77.00271770800464,77.00271770800464,,,,
xgboost_gamma_0_0_alpha_0_0_lambda_2_0__20260719T035130Z,xgboost_gamma_0_0_alpha_0_0_lambda_2_0,xgboost,2.298586255714292,,2.298586255714292,2.298586255714292,0.3075999339527762,,0.3075999339527762,0.3075999339527762,0.5641633768144223,,0.5641633768144223,0.5641633768144223,0.0949721209780812,,0.0949721209780812,0.0949721209780812,77.21249045801233,,77.21249045801233,77.21249045801233,,,,
xgboost_gamma_0_0_alpha_0_0_lambda_5_0__20260719T035250Z,xgboost_gamma_0_0_alpha_0_0_lambda_5_0,xgboost,2.2963007351873075,,2.2963007351873075,2.2963007351873075,0.3076899983488194,,0.3076899983488194,0.3076899983488194,0.5640733124183791,,0.5640733124183791,0.5640733124183791,0.0932462079529805,,0.0932462079529805,0.0932462079529805,77.84092891699402,,77.84092891699402,77.84092891699402,,,,
xgboost_gamma_0_0_alpha_0_1_lambda_1_0__20260719T035408Z,xgboost_gamma_0_0_alpha_0_1_lambda_1_0,xgboost,2.300918664618546,,2.300918664618546,2.300918664618546,0.307074558309191,,0.307074558309191,0.307074558309191,0.5624821747549498,,0.5624821747549498,0.5624821747549498,0.0921386086612175,,0.0921386086612175,0.0921386086612175,76.95256791598513,,76.95256791598513,76.95256791598513,,,,
xgboost_gamma_0_0_alpha_0_5_lambda_1_0__20260719T035527Z,xgboost_gamma_0_0_alpha_0_5_lambda_1_0,xgboost,2.3006982495368513,,2.3006982495368513,2.3006982495368513,0.3077200198141671,,0.3077200198141671,0.3077200198141671,0.5634128401807292,,0.5634128401807292,0.5634128401807292,0.093593793811456,,0.093593793811456,0.093593793811456,77.74362141700112,,77.74362141700112,77.74362141700112,,,,
xgboost_gamma_0_1_alpha_0_0_lambda_1_0__20260719T035645Z,xgboost_gamma_0_1_alpha_0_0_lambda_1_0,xgboost,2.3026396823166673,,2.3026396823166673,2.3026396823166673,0.3071946441705819,,0.3071946441705819,0.3071946441705819,0.562572239150993,,0.562572239150993,0.562572239150993,0.0917706496925826,,0.0917706496925826,0.0917706496925826,76.55843024997739,,76.55843024997739,76.55843024997739,,,,
xgboost_gamma_0_5_alpha_0_0_lambda_1_0__20260719T035802Z,xgboost_gamma_0_5_alpha_0_0_lambda_1_0,xgboost,2.3008853540109317,,2.3008853540109317,2.3008853540109317,0.3065491826656059,,0.3065491826656059,0.3065491826656059,0.5620318527747339,,0.5620318527747339,0.5620318527747339,0.0932764221902617,,0.0932764221902617,0.0932764221902617,76.0850975420035,,76.0850975420035,76.0850975420035,,,,
xgboost_lambda_12_0__20260719T040542Z,xgboost_lambda_12_0,xgboost,2.294655610680172,,2.294655610680172,2.294655610680172,0.3071496119725603,,0.3071496119725603,0.3071496119725603,0.5644635914678996,,0.5644635914678996,0.5644635914678996,0.0911617091451632,,0.0911617091451632,0.0911617091451632,78.92199000000255,,78.92199000000255,78.92199000000255,,,,
xgboost_lambda_3_0__20260719T040142Z,xgboost_lambda_3_0,xgboost,2.2996160612368666,,2.2996160612368666,2.2996160612368666,0.308380492051817,,0.308380492051817,0.308380492051817,0.5633828187153815,,0.5633828187153815,0.5633828187153815,0.093775260630976,,0.093775260630976,0.093775260630976,78.03903991702828,,78.03903991702828,78.03903991702828,,,,
xgboost_lambda_5_0__20260719T040301Z,xgboost_lambda_5_0,xgboost,2.2963007351873075,,2.2963007351873075,2.2963007351873075,0.3076899983488194,,0.3076899983488194,0.3076899983488194,0.5640733124183791,,0.5640733124183791,0.5640733124183791,0.0932462079529805,,0.0932462079529805,0.0932462079529805,77.90186945800087,,77.90186945800087,77.90186945800087,,,,
xgboost_lambda_8_0__20260719T040421Z,xgboost_lambda_8_0,xgboost,2.295275993813462,,2.295275993813462,2.295275993813462,0.3093712004082919,,0.3093712004082919,0.3093712004082919,0.564958945646137,,0.564958945646137,0.564958945646137,0.0933375607559924,,0.0933375607559924,0.0933375607559924,78.64742829199531,,78.64742829199531,78.64742829199531,,,,
xgboost_lr_0_03_trees_600__20260719T033407Z,xgboost_lr_0_03_trees_600,xgboost,2.3053629162701923,,2.3053629162701923,2.3053629162701923,0.3056485387051742,,0.3056485387051742,0.3056485387051742,0.5625572284183191,,0.5625572284183191,0.5625572284183191,0.0915490628872215,,0.0915490628872215,0.0915490628872215,219.6988428339828,,219.6988428339828,219.6988428339828,,,,
xgboost_lr_0_05_trees_400__20260719T033025Z,xgboost_lr_0_05_trees_400,xgboost,2.3061590205473355,,2.3061590205473355,2.3061590205473355,0.3066392470616491,,0.3066392470616491,0.3066392470616491,0.5616265629925397,,0.5616265629925397,0.5616265629925397,0.0918247913007531,,0.0918247913007531,0.0918247913007531,146.56900183300604,,146.56900183300604,146.56900183300604,,,,
xgboost_lr_0_1_trees_200__20260719T032757Z,xgboost_lr_0_1_trees_200,xgboost,2.3096890425103,,2.3096890425103,2.3096890425103,0.3043275942298744,,0.3043275942298744,0.3043275942298744,0.5612362839430193,,0.5612362839430193,0.5612362839430193,0.0917423115579961,,0.0917423115579961,0.0917423115579961,75.9846456660016,,75.9846456660016,75.9846456660016,,,,
xgboost_lr_0_2_trees_100__20260719T032639Z,xgboost_lr_0_2_trees_100,xgboost,2.3176050202249696,,2.3176050202249696,2.3176050202249696,0.3034119395367688,,0.3034119395367688,0.3034119395367688,0.558008976418139,,0.558008976418139,0.558008976418139,0.0971346926120603,,0.0971346926120603,0.0971346926120603,40.34055291599361,,40.34055291599361,40.34055291599361,,,,
xgboost_sub_0_7_col_0_8__20260719T034302Z,xgboost_sub_0_7_col_0_8,xgboost,2.3049456474679952,,2.3049456474679952,2.3049456474679952,0.3049430342695027,,0.3049430342695027,0.3049430342695027,0.561371380537084,,0.561371380537084,0.561371380537084,0.0939173005800787,,0.0939173005800787,0.0939173005800787,77.40995387500152,,77.40995387500152,77.40995387500152,,,,
xgboost_sub_0_8_col_0_7__20260719T034420Z,xgboost_sub_0_8_col_0_7,xgboost,2.3017844769608513,,2.3017844769608513,2.3017844769608513,0.3070895690418649,,0.3070895690418649,0.3070895690418649,0.5625121962202975,,0.5625121962202975,0.5625121962202975,0.092554386598005,,0.092554386598005,0.092554386598005,76.71390812500613,,76.71390812500613,76.71390812500613,,,,
xgboost_sub_0_8_col_0_8__20260719T034143Z,xgboost_sub_0_8_col_0_8,xgboost,2.3027347983717203,,2.3027347983717203,2.3027347983717203,0.3052432489229799,,0.3052432489229799,0.3052432489229799,0.5625872498836668,,0.5625872498836668,0.5625872498836668,0.0933808430364939,,0.0933808430364939,0.0933808430364939,76.8079229159921,,76.8079229159921,76.8079229159921,,,,
xgboost_sub_0_9_col_0_9__20260719T034025Z,xgboost_sub_0_9_col_0_9,xgboost,2.304570163233086,,2.304570163233086,2.304570163233086,0.3052132274576322,,0.3052132274576322,0.3052132274576322,0.5614914663984749,,0.5614914663984749,0.5614914663984749,0.0919569241481281,,0.0919569241481281,0.0919569241481281,79.20224020801834,,79.20224020801834,79.20224020801834,,,,
